WO Description,WO rem long desc,Cause object
c-11 membrane inflating when it shouldn't be,v9 and vinj leaking through . replaced both valves.,Gate Valve / Faucet
lid wont come down,operator jumped the gun - lid was down,POST / STUD
sms hose blew out,replaced hose,Flexible Tubing / Hose
f-08 too many injections ph.3 of cure,told operator to change membrane,Terminal block
23283-n : kpot-05867041;(+)loading,replaced d1,Washer
hyd leak in ceiling,locking ring leaking prepaired work order,Pipe / Rigid Tubing
23283-d : kpot-11046979;(-)membrane psi,had operator replace membrane,Membrane
cq 45.2 checklist started,"did as much as checklist as worker could because of loc . found that jib height, jib centering, and jib to press speed were all wrong/bad . made adjustments and left press down on loc",Process/CQ-Related
cycle time correction,repaired air leakes replaced transducers and cleaned line,Tube
23283-d : kpot-71701967;(+)extraction,replaced ps4,Pressure switch
cbo/lid speed too fast for nano- both in micro tolerance-,replaced d1 and d19 orifice,Orifice
cbo speed too slow for nano- timed at 45.0 cmin. - thank you,replaced d19 orifice,Orifice
23283-d : kpot-51962002;(-)membrane psi,had operator check and replaced bottom membrane oring.,O-Ring
cycle time correction,replaced air leaks shuttle valve d1ter sol and d3 bis,Tube
23283-d : kpot-64747507;(+)removed from auto,could not duplicate ran presses in a bunch of cycles and put on reheat and it did fine,Terminal block
45.2 checklist up on s-9,see checklist,Proximity Sensor / Switch
23283-d : kpot-72645115;(+)removed from auto,ran a bunch of cycles could not duplicate,Terminal block
lid wont lower,could not duplicate,Terminal block
23284-n : kpot-79545859;(+)loading,cleaned ps4 contacts with supersol,Pressure Gauge / Gauge
23284-n : kpot-05867570;(+)removed from auto,not making ls24 adjusted limit switch,Limit Switch / Sensor
23284-n : kpot-60993341;(-)moldback temp,left over from crew 1 (repaired),Terminal block
hydro leak,replaced short hose for lid raise,Flexible Tubing / Hose
23284-n : kpot-82464506;(+)removed from auto,"could not duplicate - ran cycles, ran it in manual, checked diaphragms, checked solenoids, checked lid hooks . all seemed to be in working order",POST / STUD
d1 d3 cross over pipe cracked,replaced pipe abd plug,Pipe reducer
23284-d : kpot-23868471;(+)consecutive l1s,v22 leaking by . stem was partially up due to corrosion preventing the stem to seat properly . replaced v22 and put press on reheat,Shut Off Valve
23284-d : kpot-64765948;(+)extraction,ls1 on locking ring misaligned,Proximity Sensor / Switch
leaking lid hose,replaced hoses o pc and lid raise,Pipe / Rigid Tubing
replace locking ring hose,replaced hose,Pipe / Rigid Tubing
23284-d : kpot-64750652;(+)extraction,replaced main airline in sol cabinet downstairs,Pipe / Rigid Tubing
keeps dropping covers on chariot,tightened cover fitment,Finger
presses t-02 & t-05 presses will load but will not close,"mold shop failed to adjust ls15 correctly on t02, t05, and t10 . also failed to adjust ls2 correctly on t03",POST / STUD
23285-n : kpot-80493015;(-)membrane psi,encoder cable was snapped causing press to load with membrane way too high - blowing the membrane,Cable
23285-n : kpot-71703110;(+)dsp duration,replaced ps7 and blew out the serpentine.,Pressure switch
jib height is not at precon,"adjusted jib height to consign for both pre-con and pick up height . found broken jib finger, replaced bolt.",Finger
44.1 checklist- standout on d15,worker did it,Terminal block
d11 sector wont close,d19 dia,Flow Control Valve
sector pipe leaking,removed repaired and replaced,Pipe / Rigid Tubing
23285-d : kpot-30307580;(+)consecutive l1s,moldback temperature 3 degrees high . replaced rtd . rtd did it.,Thermostat
23285-d : kpot-10640565;(+)extraction,clogged ps7,Pressure switch
plc communication time out,"cycled power, and hmi started working again",Software
23285-d : kpot-72645388;(+)extraction,ps7 clogged,Pressure switch
pre con height  not loading,ps7 was making/unmaking . replaced ps7,Pressure switch
to many injections,replaced both v21 ball valves and actuators.,Gate Valve / Faucet
23286-n : kpot-64753813;(+)membrane temp,replaced bottom gasket for the injector,Gasket / Seal / Packing
23286-n : kpot-64753272;(-)membrane temp,cleaned v22 orifice,Orifice
23286-n : kpot-18268063;(+)extraction,d2 sol failed,Solenoid / Coil
s01 82.1f checklist,right lid rail was loose . 2/5 bolts were broken in the threaded hole . the other 3 were loose and bent . replaced bolts.,Rail / Track
flood lights not working,tested lights and lights light up,POST / STUD
23286-d : kpot-10641099;(-)membrane psi,had operator replace membrane,Membrane
"q01 38.1, i have had nsm work on it but its still coming on the tires",didn't see anything stand out . gave back to operator.,Process/CQ-Related
23286-d : kpot-76829699;(-)membrane psi,had operator replace membrane,Membrane
23286-d : kpot-76829811;(-)membrane psi,membrane has a hole in it,Membrane
23286-d : kpot-58092608;(+)consecutive l1s,operator changed membrane,Membrane
23287-n : kpot-58092637;(+)loading,door safety switch failed,Safety Gate Interlock
s-01 dh fault,replaced top power supply,Power Supply
n-04 jib not picking up tire from press,jib pick up height needed to be adjusted,Screw
23287-n : kpot-14817909;(-)membrane psi,slow fill,Washer
23287-n : kpot-14817905;(-)membrane psi,slow fill,Washer
precon height,jib flap was sticking,Compressed Air
23287-n : kpot-55671044;(-)membrane temp,membrane failed,Membrane
buff cbos top and bottom,buffed cbos top and bottom,Grease
23287-n : kpot-80493444;(+)extraction,membrane tore under the top plate,Membrane
zach,operator put in for wrong press.,Lid
plc not turning on,reset panel view,Screw
uniformity checklist,found and fixed one loose anti-rotation pin,Pin / Clip
23287-n : kpot-70960240;(+)extraction,adjusted ls28,Limit Switch / Sensor
k-06 jib not picking cover up off chariot,had to adjust ls21 a little,Limit Switch / Sensor
23287-n : kpot-76828311;(+)membrane temp,blown membrane,Membrane
23287-n : kpot-39334346;(+)consecutive l1s,membrane failed,Membrane
23287-n : kpot-86035948;(+)extraction,had operator spray mold,Terminal block
n-01 hydro leak spraying across to p-line,rear locking ring hose got a hole rubbed it from chariot belt,Pipe / Rigid Tubing
23287-d : kpot-58093160;(+)extraction,d7 diaphragm failed.,Fitting
23287-d : kpot-29270707;(+)extraction,clogged ps7,Pressure switch
23287-d : kpot-13179687;(+)loading,"ls27 was stuck down . adjusted limit switch . ran cycle with no fluids, was good",Limit Switch / Sensor
23287-d : kpot-39334774;(+)consecutive l1s,rtd split consecutive l1 . reseated terminal strips for cards and restarted,Terminal block
23287-d : kpot-44379001;(-)moldback temp,moldback purge valve orifice clogged,Directional Valve
23287-d : kpot-88710646;(+)removed from auto,right lid hook pin broke so the lid didn't come down . blew a membrane while it was at it . cylinder was which probably broke the pin . worker replaced the hook pin and put an orifice in the hook cylinder . left hook pin was missing a set screw so worker added one since worker had a spare one in parts case . turned the press over to the operator to replace the membrane and restart.,Pin / Clip
46.1 checklist,didn't see anything stand out.,Process/CQ-Related
23287-d : kpot-71706637;(+)extraction,ps7 serpentine was clogged.,Pressure switch
c-05 44.1's tire sticking to top,watched press unload and didnt see anything wrong,Lid
23288-n : kpot-44379239;(+)removed from auto,lid hook pin broken - all pieces recovered,Pin / Clip
23288-n : kpot-27562813;(+)extraction,ps7 was slow to make,Pressure switch
23288-n : kpot-14818552;(-)membrane psi,slow fill,Speed Controller
check jib its not picking up tire out of press,ls24 needed to be adjusted,Limit Switch / Sensor
23288-n : kpot-71705960;(+)loading,replaced d3 bis diaphragm,Diaphragm
sector pipe leaking,eplaced copper o-rings and gaskets,Pipe / Rigid Tubing
jib fingers was stuck,foot peddle sticking,Limit Switch / Sensor
23190-d : kpot-36118451;(+)consecutive l1s,replaced leaking purge valve and drained condensate,Relief Valve
d 14 valve leaking,replaced valve,Gate Valve / Faucet
cbo bead lift too fast for nano- timed at 3.5 cmin,orifice gaskets for d19 were disintegrated and leaking by . replaced orifice and orifice gaskets.,Gasket / Seal / Packing
46.1 checklist,did checklist . found that the jib finger fitment was too tight and ls10 was not set at the right height . adjusted finger fitment and ls10 position . put press on reheat,Process/CQ-Related
d12 dia leaking,replaced dia,Tube
23190-d : kpot-46107112;(+)removed from auto,operator put press in manual . refer to grs3899776,Process/CQ-Related
23190-d : kpot-46107112;(+)removed from auto,operator put press in manual . refer to grs3899776,Membrane
23190-d : kpot-46107121;(+)removed from auto,operator put press in manual . refer to grs3899776,Membrane
jib fingers wont release cover after inflating,membrane precon height off by 30mm . put membrane at correct precon height,Membrane
23190-d : kpot-10611687;(+)extraction,replaced d4 diaphragm,Diaphragm
23190-d : kpot-36118562;(-)moldback temp,replaced rtd,Temperature Sensor
lid leak,small drip coming from lid raise fitting on cylinder . replaced fitting and left press on loc,Fitting
"jib height needs to be set to consigne. thank you.,",jib height off by 5mm . raised jib up 5mm to match consigne . left press down on loc,Process/CQ-Related
23190-d : kpot-36118578;(+)extraction,door was unlocked,POST / STUD
23190-d : kpot-58040436;(+)removed from auto,could not duplicate lid problem-ran multiple cycles without fluids,POST / STUD
23190-d : kpot-64581652;(+)loading,ls6 body lose . tightened ls body,Limit Switch / Sensor
23190-d : kpot-71599116;(+)loading,prox cable was unscrewed from ls23,Limit Switch / Sensor
jib wont swing in to load cover,transducers clogged,Pressure Gauge / Gauge
23191-n : kpot-88752694;(+)extraction,main air shut off valve was off,Shut Off Valve
79.1 check list,completed checklist,POST / STUD
23191-n : kpot-10612366;(+)removed from auto,lid didn't lower . replaced broken lid hook pin.,Pin / Clip
23191-n : kpot-28380243;(-)membrane temp,replaced rtd and cable,Nut
23191-d : kpot-21042001;(-)membrane psi,slow fill . had operator restart press,Pressure switch
23191-d : kpot-71598005;(+)extraction,ps7 not made . replaced ps7 and cleared out ps7 serpentine line,Pressure switch
jib want load cover keeps swing back out,* worker wo should say e2 worker replaced jib dcv and solenoids,Directional Valve
jib wont swing in,crew working on it,Spring
leak behind console,lid pipe,Pipe / Rigid Tubing
lid leak,replaced shaft seal,Gasket / Seal / Packing
membrane blew up,had operator replace membrane,Membrane
23191-d : kpot-36122969;(-)membrane psi,slow fill . had operator restart press,Steam
23192-n : kpot-35640749;(+)extraction,replaced ps7,Pressure switch
23192-n : kpot-29114509;(+)membrane temp,replaced membrane rtd.,Nut
23192-n : kpot-71598394;(+)removed from auto,ps4 cap was loose.,Pressure switch
23192-n : kpot-70943757;(+)loading,ls10 made twice because flag too far in,Screw
jib and m/b precon lowered by 5 mm,made adjustments as requested,Terminal block
46.1 checklist,(2) fingers were loose no dim 79's in the magazine to verify cover fitment,Finger
repair green tag air leak on v23,replaced line and fitting,Tube
23192-d : kpot-36070441;(-)membrane temp,changed the rtd,Thermostat
leak on d4replaced lid hosesre,replaced lid hoses,Pipe / Rigid Tubing
membrane not making precomf,replaced encoder,Encoder
v-12 too many purges phase3 of cure,flange on v4ter needs replaced,Flange
membrane wont stop at precon height,had to set the height,THREADED ROD
jib needs adjusting picking up cover from press,adjusted pick up height,Terminal block
23192-d : kpot-45912172;(+)loading,ls24 was set too far away,Limit Switch / Sensor
23192-d : kpot-70943924;(+)extraction,replaced ps7 and blew line out,Pressure switch
"need steam cut on for presses x06,w07,w08",mold shop didn't turn the back on,Directional Valve
23192-d : kpot-18053478;(+)removed from auto,replaced ps4 and solenoid cap . also had to replace contact block in ls6.,Pressure switch
23192-d : kpot-46107220;(+)loading,had to set the precon height,THREADED ROD
23192-d : kpot-71598968;(-)moldback temp,replaced moldback purge sol,Solenoid / Coil
precon/jib height to be set back to consigne please.,adjusted as requested,THREADED ROD
23192-d : kpot-29115500;(+)removed from auto,lid hook pin broken - all pieces recovered,Pin / Clip
23192-d : kpot-18053789;(-)membrane psi,membrane failed,Membrane
jib not picking coiver up from chariot,ls21 was loose.,Limit Switch / Sensor
m/b not draining mwhile unloading,"membrane encoder, magnet, and encoder bracket were all bent preventing membrane from coming up all the way . replaced encoder, bracket and magnent . the tension height was high enough that the magnent was catching on the encoder bracket . adjusted the magnent height on threaded rod",Magnet
wont load,no issues found.,Process/CQ-Related
jib dropping covers,jib can't pick up a cover that's fallen back down onto the chariot before it raises all the way.,Washer
c04 still having issues with 46.1's even after checklist has been completed,quality had molds swapped,Mold
23193-n : kpot-42243816;(+)removed from auto,lid down on sector.,Mold
46.1 checklist,rear lid guide was way out (2) anti rotation pins were very loose,Anti-Rotation Device
46.1 checklist,lid guides were out couldn't check cover fitment because no covers available,Clamp
bead lift won't lower,lowered cbo,Screw
ps4 leaking,replaced ps4,Pressure switch
jib fingers won't close,jib head was stuck,Terminal block
lid speed too fast for nano. lid is in micro- 86.3 cmin.,prr took it over,Terminal block
cure hgt needs adjusting,lowered cured pick up height.,Shim
lid still too fast for nano,replaced orifice,Washer
lid too slow for nano,changed d1 orifice . timed at 121,Terminal block
23194-n : kpot-41829131;(+)extraction,d3 diaphragm leaking so worker changed it . d17 was also leaking so while worker was down there worker changed that one too.,Diaphragm
remove and repair 100 bar header,repaired leak,Pipe / Rigid Tubing
23194-d : kpot-27474728;(+)dsp duration,v21s actuator leaking by . replaced actuator . tested operation of new actuator and put press on reheat,Shut Off Valve
44.1 checklist,precon height 5mm high,Magnet
23194-d : kpot-29117219;(+)loading,ls10 not made while lid lowering . ls10 arm loose . tightened arm . had operator restart press after the kpot cure,Limit Switch / Sensor
23194-d : kpot-21050703;(+)extraction,pressure airline to d5 had a hole in it,Tube
lid speed to slow for nano,"put in correct orifice . timed lid speed at 146.8, 148.3, and 145.6",Orifice
bead lift not working correctly causing tire not to demold,d19bis solenoid * replaced d19bis,Push Button
23194-d : kpot-87815263;(+)membrane temp,hole in membrane,Membrane
lid not opening,replaced ps7,Pressure switch
23194-d : kpot-70945666;(-)moldback temp,checked orifice in moldback purge valve . orifice clear . drained condensate and operator changed membrane before starting back up,Orifice
23195-n : kpot-71602119;(-)moldback temp,changed output card #12,PLC / PLC Cards
23195-n : kpot-10568690;(+)extraction,cleaned the contacts for ps4,Solenoid / Coil
23195-n : kpot-70946117;(-)moldback temp,changed output card o:12. also checked for clogged orifice and drained the condensate.,PLC / PLC Cards
23195-d : kpot-79485026;(-)membrane psi,changed membrane.,Membrane
23196-n : kpot-21046272;(-)moldback temp,replaced output card for moldback drain.,PLC / PLC Cards
23196-n : kpot-41830489;(+)extraction,replaced ps7.,Pressure switch
m/b not deflating,transducers clogged,Pressure Gauge / Gauge
23196-n : kpot-03156245;(+)moldback temp,replaced v6 solenoid.,Tube
23196-n : kpot-82451695;(+)extraction,main air going into hydraulic cabinet broke - repaired,Pressure Gauge / Gauge
23196-n : kpot-82451710;(-)membrane psi,had operator replace membrane,Membrane
23196-d : kpot-21046544;(-)membrane psi,membrane blew tire stuck in press,Membrane
44.1 checklist stared,completed checklist . replaced 2 solenoids in hydro cabinet and adjusted cover fitment,Process/CQ-Related
23196-d : kpot-82451770;(-)membrane temp,"hole in membrane, burr on jib finger",Membrane
23196-d : kpot-03156818;(+)removed from auto,jib precon height was wayyyyyyyyy off,Retaining ring
23197-n : kpot-58042711;(-)membrane psi,replaced membrane.,Pressure switch
23197-n : kpot-46109333;(+)dsp duration,replaced clogged.ps7 serpentine.,Pressure switch
jib wont swing in,replaced psc1.,Washer
46.1 checklist,"completed checklist - found membrane precon and jib height off by 10mm and jib fingers loose, and lid guides off and adjusted ls10",Process/CQ-Related
cq 45.2,"completed - jib finger loose, rotation pin loose, fitment loose",Screw
23344-n : kpot-40269852;(+)extraction,replaced ps7,Pressure switch
lid wont raise / wont go in reheat,bad ps7 repaired ps7 broken pipe,Pressure Gauge / Gauge
23344-d : kpot-80495797;(-)membrane psi,slow fill,Screw
replace d1 ter valve,replaced valve,Shut Off Valve
23344-d : kpot-71824989;(+)extraction,ps7 line clogged,Pressure switch
23344-d : kpot-52697586;(+)extraction,tire stuck in mold - operator sprayed mold and restarted,Nut
23344-d : kpot-71824141;(+)extraction,ps7 line clogged . replaced ps7,Pressure switch
please adjust cover fitment.,adjusted jib fitment,Process/CQ-Related
23344-d : kpot-64827048;(+)loading,one of the loose . put back on and tightened anti rotation pin.,Limit Switch / Sensor
23344-d : kpot-72646154;(+)extraction,no call - operator restarted operator said tire stuck in mold and didnt get to it fast enough when asked,Screw
23344-d : kpot-52697820;(+)extraction,no call - operator restarted operator said tire stuck in mold and didnt get to it in time when asked,Screw
23344-d : kpot-80495928;(+)extraction,"no call - operator restarted operator said door was left open and didnt make it to the press in time, when asked",Washer
setting safety cell off,jib wouldn't swing all the way out . replaced d11 diaphragm.,Diaphragm
23345-n : kpot-52696970;(+)loading,ls10 limit switch head arm loose,Limit Switch / Sensor
23345-n : kpot-58133179;(-)membrane psi,"ran bypass . found nothing leaking downstairs . blowing out through lid, replaced membrane cylinder shaft seal and had operator replace membrane and membrane o-ring",Membrane
23345-n : kpot-15630101;(-)platen temp,locking ring hose blowout,Flexible Tubing / Hose
press wont countdown,adjusted locking ring ls2 prox,Proximity Sensor / Switch
membrane won't inflate,v21 and v23 sols were cheated on,Solenoid / Coil
23345-n : kpot-58133355;(-)moldback temp,airline going to moldback valve was resting on ps7 serpentine line . airline melted and wouldn't supply air to moldback valve . fixed airline and routed it better,Flexible Tubing / Hose
23345-n : kpot-33985245;(+)extraction,ps7 fitting on tableau clogged,Pressure switch
23345-d : kpot-52696643;(+)extraction,tire sticking to sectors,Membrane
23345-d : kpot-18281395;(+)extraction,ps-7 changed,Pressure switch
91.1 check list,see checklist,Fitting
lid lowers while trying to raise at eoc,100 bar hand valve for all of s line almost closed off,Screw
23345-d : kpot-18281604;(+)extraction,adjusted ls1,Limit Switch / Sensor
23345-d : kpot-40270531;(-)membrane psi,replaced d5 dia,Diaphragm
23345-d : kpot-15630672;(+)loading,replaced d4 sol.,Solenoid / Coil
23346-n : kpot-52696727;(+)consecutive l1s,ps7 fitting loose,Pressure switch
kpot on v-2,ps7 fitting loose,Pressure switch
23346-n : kpot-18277318;(+)extraction,membrane transducers clogged . cleared out transducer line and cleaned transducers . put press on reheat,Steam
23346-n : kpot-61959055;(+)removed from auto,operator did not call in press and started it back up . operator said press did not close and pulled cover out before restarting it,Big Bag
jib cutting membrane,replaced sharp jib finger,Finger
23346-n : kpot-28548177;(-)membrane psi,slow fill,Pressure switch
23346-n : kpot-31905753;(+)extraction,press is running,Steam
23346-n : kpot-31905756;(+)loading,"ls1 not made, ring didnt close . adjusted ls1 to best of ability . locking ring has vertical play . started press up after adjustment with plans to inform ar of play.",Grease
jib dropping covers,adjusted fitment,Eccentric
replace broken locking ring cylinder,replaced top pin (broken) replaced locking ring,Clevis
23346-d : kpot-51039827;(-)platen temp,temp went down for a short period of time . checked output card and orifice for platen purge valve . didn't see anything stand out . purged out all the condensate.,Orifice
23346-d : kpot-54306797;(-)membrane temp,slow fill,Membrane
23346-d : kpot-71827503;(+)extraction,ps7 copper tube was clogged,Pressure switch
need converted from micro to nano,replaced orfice,Orifice
23346-d : kpot-64826384;(+)loading,right lid hook was stuck and packed full of anti-seize . right lid hook was leaking through . replaced it.,Hydraulic Cylinder / Jack
door wont latch,"tried replacing safety relay, but still didnt work . replaced safety latch and door re-armed",Safety Gate Interlock
23346-d : kpot-31886137;(+)extraction,ls1 didn't make . adjusted it.,Limit Switch / Sensor
23346-d : kpot-72646230;(+)extraction,operator re-fired press,Terminal block
23347-n : kpot-72646229;(+)extraction,operator re-fired press . told operator to stop starting the press back up so worker could come work on it.,Terminal block
23347-n : kpot-51044360;(-)membrane temp,dip in saufi membrane temp . checked all terminals and re-seated card in slot and left press down for operator to change membrane,Terminal End
w-05 hydro leak,"1/2"" hose for lid lower had burst",Flexible Tubing / Hose
23347-n : kpot-16629042;(-)membrane psi,hole in membrane . had operator replace membrane,Membrane
23347-n : kpot-18277985;(+)extraction,ps7 failed,Pressure switch
23347-n : kpot-33986884;(+)removed from auto,operator restarted press and did not call in kpot,Push Button
press will not open,ps7 showing pressure even though transducers are showing vacuum . replaced ps7 and cleared out ps7 serpentine,Steam
hyd leak when lid raises,replaced red fiber gasket and it stopped leaking.,Fitting
23347-d : kpot-15633403;(-)membrane psi,slow fill,Membrane
d19 bis leaking,replaced valve,Shut Off Valve
23347-d : kpot-29291939;(+)platen temp,hose running through catwalk was leaking . replaced it.,Electric Plug
23347-d : kpot-76814471;(+)dsp duration,v21e pneumatic actuator had an air leak on it . not sure if that was the main problem because the press was taken out of step . couldn't replicate problem . replaced the actuator.,Check Valve
uniformity checklist started,did checklist . found membrane off by 15 mm . re calibrated membrane,THREADED ROD
locking ring blow out,replaced hose,Pressure Gauge / Gauge
23347-d : kpot-76814606;(+)extraction,clogged ps7,Pressure switch
jib hanging,bolt was broken in jib knuckle.,Finger
x-03 jib fitment loose,cover fitment was really loose . tightened up cover fitment,Process/CQ-Related
23348-n : kpot-71827846;(+)extraction,transducers were clogged,Pressure switch
23348-n : kpot-11063628;(+)dsp duration,replaced v21s actuator,Gate Valve / Faucet
23348-n : kpot-61964495;(+)consecutive l1s,operator let it kpot - pipe needs to be welded,Pipe / Rigid Tubing
23348-n : kpot-58136202;(-)membrane psi,membrane o-ring was torn in several places,O-Ring
23348-n : kpot-33987802;(+)removed from auto,operator started press up after kpot . operator said that the jib did not pick up tire and tried loading a cover on top of tire that was in press . operator removed tire and saved new cover.,Process/CQ-Related
23348-n : kpot-16628409;(-)membrane psi,ls1 still made after locking ring closed . checked to make sure contacts/limit switch were not sticking . did not see an issue with it . had operator restart press after kpot was done curing,Limit Switch / Sensor
23348-d : kpot-61964738;(-)membrane psi,"picked up troubleshooting leak detect from prior shift . using information given at shift change (v21, v22, v23 good), worker replaced the shaft seal . no change, put press in 578 and noticed leak at bottom fitting of injector . could not tighten fitting . replaced gasket . female threads on bottom of injector stripped during removal, had to replace injector . vinj failed at some point during injector replacement and was blowing air around the valve stem . replaced vinj and ran a solid bypass . return to service.",Gasket / Seal / Packing
23348-d : kpot-80498312;(+)loading,adjusted ls1,Proximity Sensor / Switch
ripping m/b's,top cbo replaced,Membrane
double pick up check list,nothing found on checklist - tire is sticking badly to mold causing double pickups,Mold
23349-n : kpot-88857709;(-)platen temp,replaced platen drain valve,Relief Valve
23349-n : kpot-51022131;(+)loading,lid hook not opening up all the way . hook dragging on lid when lid raises to lower . cut away small section of press lid insulation to make clearance,Insulator / Insulation
23349-n : kpot-52776225;(+)extraction,operator said tire was stuck to mold . had mold sprayed and put press on reheat,Process/CQ-Related
press is rearing the membrane//need looking at,"checked fingers, jib height, precon, lowered precon 2mm",THREADED ROD
23349-n : kpot-58137007;(+)removed from auto,jib did not release cover . adjusted jib height,POST / STUD
23349-n : kpot-40272650;(+)dsp duration,reattached v21 actuator,Relief Valve
23349-n : kpot-14866475;(+)loading,ls10 stuck made . tested ls10 and it did not stick . ran press through dry cycle and could not duplicate . had operator replace membrane and restart press,Limit Switch / Sensor
membrane wont make precomf,jib flap cylinder unthreaded from clevis . re-attached clevis and put press on reheat,Clevis
23349-n : kpot-51022478;(-)moldback temp,moldback airline broke,Flexible Tubing / Hose
23349-d : kpot-28549631;(-)membrane psi,slow fill,Membrane
still ripping m/b's in the same spot,"""spot"" is along the line where cbo touches membrane . ls10 was set too low . d3bis diaphragm blown out . also checked d2 had correct orifice, which it did",Diaphragm
23349-d : kpot-28549800;(-)membrane psi,"replaced sol for v9, vinj, and v4ebis . ran bypass and all valves functioning as should",Solenoid / Coil
23349-d : kpot-80497723;(+)membrane psi,analog input card had a sporadic reading . re-seated card,PLC / PLC Cards
cover loose on jib,jib finger missing bolt and hanging loose,Screw
23350-n : kpot-80497724;(+)removed from auto,ls15 not made . ls15 loose . adjusted and tightened ls15,Limit Switch / Sensor
23350-n : kpot-40273213;(-)membrane psi,slow fill,Temperature Sensor
tearing the membrane again,started catching on top cbo after new lid cylinder installed-mold shop working on it,Plate
23350-n : kpot-76812799;(-)moldback temp,"replaced output card due to moldback purge i/o showing on, but voltage check indicated it was off and was not purging out",Process/CQ-Related
23350-d : kpot-71831092;(+)removed from auto,clogged transducers . replaced orange hose for transducers,Solenoid / Coil
23350-d : kpot-71831386;(+)removed from auto,membrane inflating more than transducers reading replaced transducers and orange hose,Pressure Gauge / Gauge
23350-d : kpot-80500165;(+)loading,adjusted ls6,Limit Switch / Sensor
23350-d : kpot-27517447;(+)extraction,replaced ps7,Pressure switch
leaks in phase 3 fault,ran multiple bypasses . found nothing leaking or flashing off . replaced membrane shaft seal and had operator replace membrane and membrane o-ring,Gasket / Seal / Packing
23351-n : kpot-88859264;(+)extraction,ps7 had gunk in fitting and ps7 serpentine clogged . cleared clogged serpentine and replaced ps7,Steam
23351-n : kpot-76816241;(-)membrane psi,slow fill,Injector
23351-n : kpot-15686871;(-)membrane psi,slow fill,Injector
23253-n : kpot-88642430;(+)extraction,replaced d5 dia.,Diaphragm
23253-n : kpot-52688295;(+)extraction,operator restarted press,Process/CQ-Related
23253-d : kpot-18107819;(-)moldback temp,both platen and moldback temperatures dropped at the beginning of the cure . co2 cleaned prior with no hold up round.,Process/CQ-Related
44.1 checklist,completed . lid speed corrected from 157 cmin to 143 cmin.,Process/CQ-Related
uniformity checklist started,completed . the only thing that stood out to was a jib knuckle with a lot of play . replaced all 3 knuckles.,Process/CQ-Related
46.1 checklist needs to be done,did first part of checklist . didn't find anything of note,Shim
sector pipi leaking,replaced d3 bis,Gate Valve / Faucet
23253-d : kpot-65772148;(-)membrane psi,"lost ps12 during the cure . 29 dcv was leaking so replaced that, but still wasn't getting it so checked the ps12 and adjusted it to 2 bar and it worked.",Pressure switch
jib cylinder still leaking,replaced shaft seal,Linkage
23253-d : kpot-49946619;(+)loading,ls10 head failed . replaced it.,Limit Switch / Sensor
uniformity checklist,did not see anything stand out . gave back to operator.,Process/CQ-Related
23254-n : kpot-18106689;(+)loading,missed ls10 when it closed,Limit Switch / Sensor
23254-n : kpot-64739735;(-)membrane psi,membrane failed,Membrane
23254-n : kpot-71686144;(+)extraction,cleared clog from serpentine and replaced ps7,Pressure switch
23254-n : kpot-51948773;(-)membrane psi,cbo pin missing . told operator to call mold shop to find pin and check shells.,Screw
23254-n : kpot-15594791;(+)extraction,tire stuck to sectors,Nut
23254-n : kpot-52688713;(+)extraction,tire stuck to mold,Orifice
u-08 missing ls10,tightened the nut for ls10 arm.,Limit Switch / Sensor
x-01 dropping covers,jib was not centered over chariot . adjusted jib,Fitting
jib dropping covers in the chariot aisle,adjusted the cover fitment.,Finger
door wont lock,replaced safety relay,Safety Gate Interlock
jib dropping covers,adjusted cover fitment.,Finger
23254-d : kpot-58123781;(-)moldback temp,output for moldback purge valve wasnt working . replaced card,Terminal fitting
23254-d : kpot-18102368;(+)loading,lid didn't lower . cycled a few times . no issues . found right lid hook cylinder leaking through . replaced it.,Hydraulic Cylinder / Jack
lid speed way too fast for micro- timed at 27 cmin.,d1 had no orifice . worker put in a 3mm orifice and got the speed up to about 67 csec,Orifice
cracked pipe on d19,removed repaired and replaced,Pipe / Rigid Tubing
cbo lift too slow for nano- coming in at 49.2,drilled out orifice and got 33.21 cmin.,Process/CQ-Related
jib dropping covers,jib fitment seemed off . reset and put press back on reheat,Guide plate
please level and center jib- getting 45.2's on c11. thank you,level bubble in the lines both directions . worker worked to center the jib by about a millimeter,Screw
replaced1ter  leaking,replaced valve,Relief Valve
23255-d : kpot-55663028;(-)platen temp,replaced bad solenoid,Solenoid / Coil
"the door is not opening , its stuck",corrosion on safety relay terminals . replaced safety relay and one terminal block.,Safety Relay
cycle time,replaced d3 d3bis leaking,Shut Off Valve
getting 82.1 flashung,completed nsk portion of checklist . all good . put press on downtime 17,Process/CQ-Related
replace v21,replaced v21,Shut Off Valve
23255-d : kpot-71683215;(+)loading,ls15 not made . adjusted ls15,Limit Switch / Sensor
jib  not picking up tire out of press,moldshop adjusted jib,Process/CQ-Related
23255-d : kpot-52689542;(+)extraction,replaced right hook pin,Lid
23255-d : kpot-55663140;(-)platen temp,changed o-12 output card,Big Bag
23255-d : kpot-14773205;(+)extraction,bad safety relay due to transducer t leak into cabinet . fixed leak and replaced safety relay,Safety Relay
23256-n : kpot-15595221;(-)platen temp,replaced output card o:12,PLC / PLC Cards
23256-n : kpot-65769596;(+)removed from auto,lid hooks didn't open.,Fitting
23256-n : kpot-71683851;(+)removed from auto,operator left thrust worker hose on lid hook ring on for ls5 while cleaning . downtime is wrong . only about 20 mins of downtime.,Limit Switch / Sensor
